artist,release_date,added_at,track_name,duration_ms,track_id,artist_id
PhucXp,2022-05-20,2024-07-31T00:44:59Z,Như Anh Đã Thấy Em,302000,7h2zqUH4bYyknNUxsYnS5V,6fCJf6pkYTHfW1XPc1d4vO
"ANH TRAI ""SAY HI""",2024-07-15,2024-07-31T00:44:59Z,"HÀO QUANG (feat. RHYDER, Dương Domic & Pháp Kiều)",245454,3EQjXzlXY0dyOovq0Awe91,4wZ6awunqaaVLl5j0WpDFu
Mai Tiến Dũng,2022-10-20,2024-07-31T00:44:59Z,Người Như Anh,290624,6mnkGSgd8eHVv1C38pDP9o,4WBjLLe7H2Rqha7SSA0rLY
SIXTYUPTOWN,2024-07-11,2024-07-31T00:44:59Z,"Girl Hà Nội (ft. Dangrangto, Lu, Rem)",234500,3nOQ8LlNDS2U9vohMlBWJq,6uAa2LaYiWLsy8FlwtKvay
Hứa Kim Tuyền,2022-05-25,2024-07-31T00:44:59Z,hai mươi hai (22),238986,6K2RhGsliOVLgj7iUaayuD,3Ufoo4BPShhahtCSjgpBLP
KayC,2024-06-25,2024-07-31T00:44:59Z,"Bao Nhiêu Loài Hoa Remix (feat. tlinh, Machiot)",155416,2DzFmWhrnRHROJuxW5e1t2,3EkXXkwTWhJpPDJR4ME3D8
Hiya,2023-11-05,2024-07-31T00:44:59Z,Em Có Nhớ Anh Không ?,272538,4xjMsuPSMtGwFvwdnEFDKn,36HqaJcdxxKup5AbhP87k5
"ANH TRAI ""SAY HI""",2024-07-08,2024-07-31T00:44:59Z,"CATCH ME IF YOU CAN (feat. Quang Hùng MasterD, Negav, Công Dương & Nicky)",256000,193luTcDfusSUv3yqs1gGj,4wZ6awunqaaVLl5j0WpDFu
Phan Như Thuỳ,2024-06-21,2024-07-31T00:44:59Z,Nổi Gió Lên,286753,4nB8rzp00TytQi9tvhs06o,3icUzqyDWte78fxHtTniUz
Phí Phương Anh,2021-04-21,2024-07-31T00:44:59Z,Răng Khôn,231585,6kDcfNV4jAz7izU56ZxlDm,1OnnVNvbz0OsApDXHUX2bM
Rocky CDE,2024-01-06,2024-07-31T00:44:59Z,Việc Nên Làm,274212,3TBZ2VchMRulZU8SbJx0Sc,2lnesmkx2eGDj0wTUv61Ch
"ANH TRAI ""SAY HI""",2024-07-08,2024-07-31T00:44:59Z,"LOVE SAND (feat. HIEUTHUHAI, JSOL, Ali Hoàng Dương & Vũ Thịnh)",235179,2SmnoPHetB88xJwC6HJHGv,4wZ6awunqaaVLl5j0WpDFu
